Time,East,North,East Displacement,North Displacement,Resultant Distance,Speed,Distance Traveled
0,0,0,,,,,
10,6,2,,,,,
20,14,14,,,,,
30,22,26,,,,,
40,35,36,,,,,
50,48,46,,,,,
60,60,59,,,,,
70,70,73,,,,,
80,82,85,,,,,
90,93,99,,,,,
100,98,115,,,,,
110,105,129,,,,,
120,120,136,,,,,
130,137,139,,,,,
140,152,147,,,,,
150,164,158,,,,,
160,175,168,,,,,
170,188,179,,,,,
180,199,192,,,,,
190,212,203,,,,,
200,222,216,,,,,
210,232,228,,,,,
220,242,240,,,,,
230,254,252,,,,,
240,266,266,,,,,
250,274,281,,,,,
260,272,298,,,,,
270,270,315,,,,,
280,268,332,,,,,
290,267,350,,,,,
300,268,368,,,,,
310,269,385,,,,,
320,269,402,,,,,
330,271,419,,,,,
340,277,436,,,,,
350,283,453,,,,,
360,290,469,,,,,
370,298,485,,,,,
380,310,499,,,,,
390,322,514,,,,,
400,335,525,,,,,
410,352,529,,,,,
420,369,533,,,,,
430,385,538,,,,,
440,403,542,,,,,
450,421,547,,,,,
460,439,551,,,,,
470,456,556,,,,,
480,473,563,,,,,
490,487,573,,,,,
500,500,585,,,,,
510,511,599,,,,,
520,521,613,,,,,
530,532,629,,,,,
540,544,644,,,,,
550,556,658,,,,,
560,569,670,,,,,
570,580,686,,,,,
580,586,704,,,,,
590,587,724,,,,,
600,588,741,,,,,
610,588,758,,,,,
620,591,774,,,,,
630,591,792,,,,,
640,592,808,,,,,
650,594,822,,,,,
660,602,838,,,,,
670,618,847,,,,,
680,637,847,,,,,
690,655,843,,,,,
700,673,839,,,,,
710,691,839,,,,,
720,706,849,,,,,
730,718,862,,,,,
740,730,876,,,,,
750,741,890,,,,,
760,751,905,,,,,
770,760,922,,,,,
780,767,938,,,,,
790,776,955,,,,,
800,786,970,,,,,
810,799,984,,,,,
820,811,998,,,,,
830,825,1009,,,,,
840,839,1018,,,,,
850,855,1024,,,,,
860,870,1032,,,,,
870,884,1040,,,,,
880,899,1049,,,,,
890,913,1060,,,,,
900,925,1073,,,,,
910,937,1088,,,,,
920,950,1101,,,,,
930,966,1113,,,,,
940,982,1123,,,,,
950,999,1131,,,,,
960,1014,1141,,,,,
970,1030,1151,,,,,
980,1045,1163,,,,,
990,1056,1177,,,,,
1000,1067,1188,,,,,
1010,1082,1197,,,,,
1020,1093,1210,,,,,
1030,1104,1226,,,,,
1040,1116,1238,,,,,
1050,1128,1249,,,,,
1060,1143,1259,,,,,
1070,1156,1270,,,,,
1080,1168,1279,,,,,
1090,1181,1291,,,,,
1100,1193,1303,,,,,
1110,1205,1318,,,,,
1120,1220,1329,,,,,
1130,1233,1340,,,,,
1140,1246,1352,,,,,
1150,1256,1362,,,,,
1160,1265,1380,,,,,
1170,1272,1397,,,,,
1180,1283,1410,,,,,
1190,1289,1425,,,,,
1200,1290,1443,,,,,
1210,1293,1459,,,,,
1220,1293,1477,,,,,
1230,1296,1492,,,,,
1240,1297,1507,,,,,
1250,1293,1523,,,,,
1260,1288,1534,,,,,
1270,1285,1544,,,,,
1280,1285,1559,,,,,
1290,1285,1575,,,,,
1300,1295,1590,,,,,
1310,1309,1590,,,,,
1320,1321,1578,,,,,
1330,1336,1566,,,,,
1340,1350,1556,,,,,
1350,1365,1546,,,,,
1360,1375,1536,,,,,
1370,1383,1527,,,,,
1380,1393,1518,,,,,
1390,1401,1508,,,,,
1400,1399,1497,,,,,
1410,1397,1486,,,,,
1420,1397,1475,,,,,
1430,1397,1463,,,,,
1440,1398,1453,,,,,
1450,1401,1443,,,,,
1460,1414,1440,,,,,
1470,1429,1437,,,,,
1480,1442,1431,,,,,
1490,1456,1422,,,,,
1500,1469,1410,,,,,
1510,1477,1400,,,,,
1520,1486,1389,,,,,
1530,1495,1379,,,,,
1540,1507,1371,,,,,
1550,1523,1367,,,,,
1560,1539,1364,,,,,
1570,1552,1362,,,,,
1580,1568,1360,,,,,
1590,1584,1356,,,,,
1600,1599,1349,,,,,
1610,1611,1337,,,,,
1620,1619,1321,,,,,
1630,1624,1305,,,,,
1640,1631,1288,,,,,
1650,1638,1272,,,,,
1660,1645,1257,,,,,
1670,1656,1243,,,,,
1680,1669,1231,,,,,
1690,1681,1218,,,,,
1700,1691,1204,,,,,
1710,1698,1190,,,,,
1720,1705,1178,,,,,
1730,1719,1167,,,,,
1740,1734,1161,,,,,
1750,1748,1155,,,,,
1760,1766,1157,,,,,
