Time_s,HR_bpm
0,110.0
1,111.0
2,111.0
3,111.0
4,112.0
5,112.0
6,114.0
7,116.0
8,115.0
9,115.0
10,117.0
11,118.0
12,118.0
13,118.0
14,119.0
15,121.0
16,119.0
17,121.0
18,120.0
19,121.0
20,121.0
21,124.0
22,123.0
23,126.0
24,126.0
25,
26,
27,127.0
28,129.0
29,129.0
30,128.0
31,130.0
32,130.0
33,131.0
34,134.0
35,133.0
36,134.0
37,136.0
38,135.0
39,136.0
40,137.0
41,137.0
42,137.0
43,139.0
44,141.0
45,138.0
46,142.0
47,141.0
48,141.0
49,145.0
50,144.0
51,143.0
52,145.0
53,146.0
54,146.0
55,147.0
56,147.0
57,149.0
58,150.0
59,149.0
60,150.0
61,150.0
62,152.0
63,151.0
64,152.0
65,153.0
66,155.0
67,156.0
68,154.0
69,155.0
70,
71,154.0
72,156.0
73,157.0
74,159.0
75,159.0
76,158.0
77,158.0
78,159.0
79,161.0
80,159.0
81,159.0
82,160.0
83,160.0
84,160.0
85,160.0
86,161.0
87,161.0
88,162.0
89,162.0
90,162.0
91,162.0
92,162.0
93,163.0
94,162.0
95,163.0
96,161.0
97,163.0
98,161.0
99,161.0
100,163.0
101,162.0
102,163.0
103,165.0
104,163.0
105,163.0
106,164.0
107,164.0
108,163.0
109,163.0
110,164.0
111,164.0
112,163.0
113,164.0
114,164.0
115,163.0
116,164.0
117,163.0
118,165.0
119,164.0
120,165.0
121,
122,
123,
124,159.0
125,160.0
126,157.0
127,159.0
128,155.0
129,157.0
130,154.0
131,155.0
132,154.0
133,151.0
134,153.0
135,153.0
136,150.0
137,150.0
138,149.0
139,148.0
140,149.0
141,147.0
142,147.0
143,145.0
144,145.0
145,144.0
146,146.0
147,144.0
148,145.0
149,143.0
150,
151,142.0
152,141.0
153,142.0
154,141.0
155,141.0
156,139.0
157,139.0
158,142.0
159,139.0
160,138.0
161,139.0
162,140.0
163,137.0
164,138.0
165,137.0
166,136.0
167,138.0
168,137.0
169,137.0
170,136.0
171,137.0
172,136.0
173,136.0
174,135.0
175,134.0
176,137.0
177,135.0
178,135.0
179,135.0
