Student_ID,Class,Sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
S001,9A,M,4,1.0,2,3.0,2,4,2,2,3.0,2,4,3.0
S002,9B,M,5,3.0,2,5.0,5,4,2,3,5.0,5,2,4.0
S003,9B,F,5,3.0,1,5.0,5,5,1,5,3.0,4,3,5.0
S004,10A,F,5,2.0,3,4.0,4,4,3,5,5.0,5,4,5.0
S005,10A,F,2,3.0,2,5.0,5,5,1,3,4.0,3,1,5.0
S006,10A,F,3,5.0,1,4.0,3,5,1,5,4.0,5,2,4.0
S007,9B,F,3,4.0,3,4.0,5,5,1,5,3.0,3,1,3.0
S008,9B,F,4,5.0,1,,4,3,1,4,4.0,4,1,5.0
S009,9B,M,4,4.0,1,4.0,4,3,2,4,2.0,4,1,5.0
S010,9A,F,3,5.0,3,4.0,4,4,2,3,4.0,2,1,4.0
S011,10A,M,2,2.0,3,2.0,2,4,3,3,2.0,3,2,2.0
S012,10A,F,3,5.0,2,5.0,5,4,3,3,4.0,5,2,5.0
S013,10A,F,5,3.0,2,3.0,3,2,4,1,3.0,2,2,3.0
S014,9A,M,4,3.0,3,2.0,4,2,3,4,4.0,3,4,4.0
S015,9A,M,4,5.0,3,5.0,5,3,1,4,4.0,5,1,4.0
S016,10A,M,4,5.0,2,4.0,5,3,2,4,4.0,4,4,4.0
S017,9B,F,4,4.0,1,4.0,4,5,2,4,4.0,4,1,5.0
S018,10A,F,2,3.0,2,4.0,5,4,3,2,4.0,2,3,3.0
S019,9B,F,3,2.0,3,2.0,2,3,4,3,3.0,3,2,2.0
S020,9B,F,3,4.0,1,4.0,4,2,2,3,3.0,3,4,4.0
S021,9B,M,4,4.0,3,5.0,5,4,4,4,3.0,3,3,4.0
S022,10A,F,2,3.0,3,4.0,3,4,2,4,2.0,4,3,4.0
S023,9B,F,4,4.0,1,4.0,5,5,2,5,,4,1,5.0
S024,10A,M,3,4.0,2,3.0,4,2,1,4,2.0,3,3,3.0
S025,9A,F,4,4.0,1,4.0,5,4,1,5,4.0,4,1,5.0
S026,9B,F,3,4.0,2,3.0,3,4,4,2,3.0,2,4,2.0
S027,10A,F,3,5.0,2,4.0,4,4,2,4,5.0,5,3,3.0
S028,10A,F,4,3.0,1,4.0,3,4,3,5,3.0,2,2,4.0
S029,10A,M,2,4.0,3,2.0,3,3,3,4,3.0,3,1,4.0
S030,9A,M,4,3.0,3,4.0,5,4,2,2,5.0,5,2,2.0
S031,10A,M,3,4.0,2,3.0,4,4,4,3,4.0,4,3,2.0
S032,10A,F,2,3.0,1,4.0,3,3,2,4,3.0,3,4,2.0
S033,10A,M,5,5.0,1,4.0,5,5,1,5,5.0,4,2,5.0
S034,9A,M,4,2.0,3,5.0,4,2,2,4,4.0,3,1,3.0
S035,10A,F,4,3.0,1,4.0,4,4,3,3,4.0,3,3,3.0
S036,10A,M,2,1.0,4,3.0,3,2,4,2,2.0,2,5,3.0
S037,10A,F,4,4.0,2,2.0,3,2,2,3,3.0,3,2,2.0
S038,9A,M,4,5.0,3,4.0,3,3,2,3,2.0,3,3,4.0
S039,10A,M,3,2.0,2,3.0,2,3,2,3,3.0,3,3,3.0
S040,9A,F,5,5.0,2,3.0,3,4,1,5,5.0,3,1,5.0
S041,9B,F,5,3.0,3,3.0,4,3,1,3,3.0,3,1,4.0
S042,9B,F,5,,3,5.0,4,4,1,5,3.0,5,1,4.0
S043,9B,M,3,4.0,2,4.0,3,4,2,5,4.0,3,2,4.0
S044,10A,F,3,4.0,3,4.0,1,3,3,2,4.0,3,2,4.0
S045,9A,M,5,5.0,1,4.0,3,4,3,4,3.0,3,2,4.0
S046,9B,F,3,3.0,3,5.0,4,3,2,3,3.0,4,2,2.0
S047,9B,F,4,5.0,1,5.0,4,4,1,5,4.0,4,1,5.0
S048,9B,M,2,2.0,4,1.0,2,1,4,2,1.0,3,4,1.0
S049,9A,M,3,3.0,4,2.0,1,3,3,3,2.0,3,4,3.0
S050,9A,M,3,3.0,2,3.0,4,3,2,4,4.0,2,2,4.0
S051,9A,F,3,4.0,3,2.0,3,3,2,4,3.0,4,2,4.0
S052,9B,F,4,4.0,3,4.0,4,4,1,5,5.0,3,1,4.0
S053,9B,F,3,3.0,2,5.0,5,2,1,2,4.0,3,2,4.0
S054,9B,M,3,4.0,1,2.0,5,3,3,5,4.0,4,3,4.0
S055,9B,M,5,5.0,2,5.0,4,5,2,5,4.0,4,2,4.0
S056,9A,F,5,5.0,2,4.0,4,4,1,5,5.0,5,2,
S057,9A,M,4,5.0,1,3.0,3,4,2,3,3.0,3,1,4.0
S058,9B,F,4,5.0,1,5.0,5,5,2,4,3.0,4,1,4.0
S059,10A,M,4,3.0,3,3.0,4,5,2,4,3.0,3,2,3.0
S060,9A,M,3,4.0,3,4.0,3,2,3,3,3.0,3,3,2.0
