participant,sex,height,weight,muscle_csa,squat_strength,knee_ext_strength,knee_flex_strength,sprint_time
S200_1,F,163,59,152.9,75,26.5,30.0,6.21
S200_2,M,177,85,224.5,160,57.6,51.3,5.56
S200_3,F,164,50,136.0,55,13.7,21.2,6.78
S200_4,F,175,70,148.7,70,20.6,26.0,6.67
S200_5,M,184,77.5,173.9,100,57.0,50.9,4.94
S200_6,M,177,78,199.2,130,41.8,40.5,5.54
S200_7,M,182,74,173.9,100,36.4,36.8,5.72
S200_8,M,168,75,182.4,110,36.7,37.0,6.46
S200_9,F,167,59,148.7,70,30.3,32.6,6.11
S200_10,M,183,98,207.6,140,63.7,55.5,5.81
S200_11,F,175,71,140.2,60,28.6,31.5,6.46
S200_12,M,180,88.6,241.3,180,60,50,6.12
S200_13,M,181,93.4,219.5,140,52.5,52.5,6.48
S200_14,F,177,74.2,182.0,115,40,37.5,6.70
S200_15,M,177,73.6,195.1,125,40,45,6.61
S200_16,F,168,63.5,187.1,120,34.3,35.3,6.3
S200_17,M,180,89.5,246.0,190,56.8,50.7,5
