Date,Athlete,Session_Type,Duration_min,Distance_km,Avg_HR,Max_HR,RPE
2026-01-05,Ingrid,Strength,55.0,,106.0,148,5
2026-01-07,Ingrid,Strength,66.0,,114.0,145,7
2026-01-09,Ingrid,Strength,53.0,,99.0,149,7
2026-01-10,Ingrid,Strength,59.0,,106.0,139,5
2026-01-11,Ingrid,Match,90.0,11.8,161.0,189,8
2026-01-12,Ingrid,Strength,52.0,,96.0,150,6
2026-01-13,Ingrid,Match,90.0,9.3,165.0,192,8
2026-01-15,Ingrid,Endurance,87.0,17.3,150.0,166,3
2026-01-16,Ingrid,Endurance,66.0,10.5,144.0,162,5
2026-01-18,Ingrid,Interval,59.0,13.3,164.0,191,8
2026-01-19,Ingrid,Match,90.0,11.7,173.0,198,8
2026-01-21,Ingrid,Strength,45.0,,116.0,134,7
2026-01-22,Ingrid,Endurance,80.0,14.8,148.0,164,5
2026-01-23,Ingrid,Strength,60.0,,95.0,132,5
2026-01-24,Ingrid,Endurance,75.0,13.4,,161,5
2026-01-25,Ingrid,Strength,59.0,,97.0,141,7
2026-01-27,Ingrid,Interval,60.0,12.2,159.0,197,8
2026-02-01,Ingrid,Endurance,70.0,13.2,155.0,170,4
2026-02-02,Ingrid,Interval,39.0,7.2,158.0,181,6
2026-02-03,Ingrid,Strength,56.0,,113.0,133,7
2026-02-05,Ingrid,Strength,57.0,,106.0,133,6
2026-02-06,Ingrid,Strength,62.0,,110.0,137,7
2026-02-08,Ingrid,Endurance,61.0,11.3,154.0,167,3
2026-02-09,Ingrid,Interval,54.0,11.8,171.0,188,8
2026-02-11,Ingrid,Interval,33.0,6.4,164.0,192,6
2026-02-12,Ingrid,Strength,46.0,,107.0,147,5
2026-02-13,Ingrid,Match,90.0,10.2,164.0,195,7
2026-02-14,Ingrid,Strength,62.0,,97.0,145,6
2026-02-16,Ingrid,Endurance,60.0,9.4,149.0,161,3
2026-02-18,Ingrid,Strength,75.0,,110.0,139,6
2026-02-19,Ingrid,Interval,30.0,6.9,163.0,188,7
2026-02-21,Ingrid,Match,90.0,10.5,167.0,200,7
2026-02-22,Ingrid,Strength,69.0,,101.0,150,5
2026-02-23,Ingrid,Match,90.0,8.6,167.0,190,9
2026-02-24,Ingrid,Strength,45.0,,102.0,141,5
2026-02-25,Ingrid,Endurance,50.0,9.1,140.0,171,5
2026-02-26,Ingrid,Interval,33.0,7.6,175.0,184,6
2026-02-27,Ingrid,Endurance,70.0,13.4,142.0,167,5
2026-02-28,Ingrid,Endurance,88.0,14.5,148.0,168,5
2026-03-01,Ingrid,Interval,35.0,6.5,158.0,185,7
2026-01-05,Martin,Endurance,480.0,16.1,152.0,174,3
2026-01-06,Martin,Match,90.0,9.8,160.0,197,8
2026-01-07,Martin,Strength,71.0,,97.0,145,7
2026-01-09,Martin,Match,90.0,9.0,163.0,186,9
2026-01-12,Martin,Strength,71.0,,96.0,134,5
2026-01-13,Martin,Interval,39.0,8.1,175.0,187,6
2026-01-17,Martin,Match,90.0,10.5,161.0,199,9
2026-01-18,Martin,Interval,36.0,8.0,155.0,192,6
2026-01-21,Martin,Strength,42.0,,105.0,150,5
2026-01-22,Martin,Strength,63.0,,103.0,150,6
2026-01-23,Martin,Interval,45.0,9.5,155.0,182,7
2026-01-26,Martin,Endurance,89.0,16.0,138.0,174,5
